tensor(0.2605119348, grad_fn=<DivBackward0>)
tensor(0.1818345636, grad_fn=<DivBackward0>)
tensor(0.1747934669, grad_fn=<DivBackward0>)
tensor(0.1730843037, grad_fn=<DivBackward0>)
tensor(0.1735396981, grad_fn=<DivBackward0>)
tensor(0.1711688042, grad_fn=<DivBackward0>)
tensor(0.1697834134, grad_fn=<DivBackward0>)
tensor(0.1704875231, grad_fn=<DivBackward0>)
tensor(0.1703138202, grad_fn=<DivBackward0>)
tensor(0.1701362878, grad_fn=<DivBackward0>)
tensor(0.1702777594, grad_fn=<DivBackward0>)
tensor(0.1701402217, grad_fn=<DivBackward0>)
tensor(0.1683422774, grad_fn=<DivBackward0>)
tensor(0.1688787043, grad_fn=<DivBackward0>)
tensor(0.1686131358, grad_fn=<DivBackward0>)
tensor(0.1688059717, grad_fn=<DivBackward0>)
tensor(0.1683721095, grad_fn=<DivBackward0>)
tensor(0.1684594750, grad_fn=<DivBackward0>)
tensor(0.1683219969, grad_fn=<DivBackward0>)
tensor(0.1690232158, grad_fn=<DivBackward0>)
tensor(0.1687774211, grad_fn=<DivBackward0>)
tensor(0.1678216904, grad_fn=<DivBackward0>)
tensor(0.1685044914, grad_fn=<DivBackward0>)
tensor(0.1692313254, grad_fn=<DivBackward0>)
tensor(0.1693209112, grad_fn=<DivBackward0>)
tensor(0.1674645543, grad_fn=<DivBackward0>)
tensor(0.1679417342, grad_fn=<DivBackward0>)
tensor(0.1679246128, grad_fn=<DivBackward0>)
tensor(0.1677095294, grad_fn=<DivBackward0>)
tensor(0.1681296825, grad_fn=<DivBackward0>)
tensor(0.1678293645, grad_fn=<DivBackward0>)
tensor(0.1680079252, grad_fn=<DivBackward0>)
tensor(0.1684345156, grad_fn=<DivBackward0>)
tensor(0.1682963967, grad_fn=<DivBackward0>)
tensor(0.1680650264, grad_fn=<DivBackward0>)
tensor(0.1682519168, grad_fn=<DivBackward0>)
tensor(0.1683623791, grad_fn=<DivBackward0>)
tensor(0.1673407257, grad_fn=<DivBackward0>)
tensor(0.1688030213, grad_fn=<DivBackward0>)
tensor(0.1671698838, grad_fn=<DivBackward0>)
tensor(0.1683157682, grad_fn=<DivBackward0>)
tensor(0.1674704254, grad_fn=<DivBackward0>)
tensor(0.1676501483, grad_fn=<DivBackward0>)
tensor(0.1685830504, grad_fn=<DivBackward0>)
tensor(0.1684572548, grad_fn=<DivBackward0>)
tensor(0.1690740585, grad_fn=<DivBackward0>)
tensor(0.1690203995, grad_fn=<DivBackward0>)
tensor(0.1688906103, grad_fn=<DivBackward0>)
tensor(0.1683125347, grad_fn=<DivBackward0>)
tensor(0.1674479097, grad_fn=<DivBackward0>)
tensor(0.1681716591, grad_fn=<DivBackward0>)
tensor(0.1685573757, grad_fn=<DivBackward0>)
tensor(0.1672354192, grad_fn=<DivBackward0>)
tensor(0.1681212485, grad_fn=<DivBackward0>)
tensor(0.1676368862, grad_fn=<DivBackward0>)
tensor(0.1696213186, grad_fn=<DivBackward0>)
tensor(0.1682347804, grad_fn=<DivBackward0>)
tensor(0.1670376658, grad_fn=<DivBackward0>)
tensor(0.1678163409, grad_fn=<DivBackward0>)
tensor(0.1687264591, grad_fn=<DivBackward0>)
tensor(0.1682446897, grad_fn=<DivBackward0>)
tensor(0.1676028073, grad_fn=<DivBackward0>)
tensor(0.1683643907, grad_fn=<DivBackward0>)
tensor(0.1680603176, grad_fn=<DivBackward0>)
tensor(0.1680635959, grad_fn=<DivBackward0>)
tensor(0.1681433171, grad_fn=<DivBackward0>)
tensor(0.1681226641, grad_fn=<DivBackward0>)
tensor(0.1680215895, grad_fn=<DivBackward0>)
tensor(0.1683785170, grad_fn=<DivBackward0>)
tensor(0.1677036732, grad_fn=<DivBackward0>)
tensor(0.1681681275, grad_fn=<DivBackward0>)
tensor(0.1678710282, grad_fn=<DivBackward0>)
tensor(0.1680837274, grad_fn=<DivBackward0>)
tensor(0.1681734324, grad_fn=<DivBackward0>)
tensor(0.1678481996, grad_fn=<DivBackward0>)
tensor(0.1677428335, grad_fn=<DivBackward0>)
tensor(0.1674929857, grad_fn=<DivBackward0>)
tensor(0.1673922539, grad_fn=<DivBackward0>)
tensor(0.1680306047, grad_fn=<DivBackward0>)
tensor(0.1689896137, grad_fn=<DivBackward0>)
tensor(0.1682980657, grad_fn=<DivBackward0>)
tensor(0.1690191329, grad_fn=<DivBackward0>)
tensor(0.1670107991, grad_fn=<DivBackward0>)
tensor(0.1680459678, grad_fn=<DivBackward0>)
tensor(0.1677462310, grad_fn=<DivBackward0>)
tensor(0.1679737419, grad_fn=<DivBackward0>)
tensor(0.1679667383, grad_fn=<DivBackward0>)
tensor(0.1686555296, grad_fn=<DivBackward0>)
tensor(0.1676484495, grad_fn=<DivBackward0>)
tensor(0.1681082398, grad_fn=<DivBackward0>)
tensor(0.1680263579, grad_fn=<DivBackward0>)
tensor(0.1678473055, grad_fn=<DivBackward0>)
tensor(0.1674787253, grad_fn=<DivBackward0>)
tensor(0.1678435355, grad_fn=<DivBackward0>)
tensor(0.1682718098, grad_fn=<DivBackward0>)
tensor(0.1673797667, grad_fn=<DivBackward0>)
tensor(0.1677197963, grad_fn=<DivBackward0>)
tensor(0.1674506962, grad_fn=<DivBackward0>)
tensor(0.1682428420, grad_fn=<DivBackward0>)
tensor(0.1674463600, grad_fn=<DivBackward0>)
tensor(0.1615907550, grad_fn=<DivBackward0>)
