tensor(0.5561820865, grad_fn=<DivBackward0>)
tensor(0.4499555528, grad_fn=<DivBackward0>)
tensor(0.4161721766, grad_fn=<DivBackward0>)
tensor(0.3921635449, grad_fn=<DivBackward0>)
tensor(0.3676630259, grad_fn=<DivBackward0>)
tensor(0.3601086140, grad_fn=<DivBackward0>)
tensor(0.3559923470, grad_fn=<DivBackward0>)
tensor(0.3550890088, grad_fn=<DivBackward0>)
tensor(0.3421276212, grad_fn=<DivBackward0>)
tensor(0.3413797617, grad_fn=<DivBackward0>)
tensor(0.3357900679, grad_fn=<DivBackward0>)
tensor(0.3356634974, grad_fn=<DivBackward0>)
tensor(0.3377481997, grad_fn=<DivBackward0>)
tensor(0.3327808976, grad_fn=<DivBackward0>)
tensor(0.3299392760, grad_fn=<DivBackward0>)
tensor(0.3301177323, grad_fn=<DivBackward0>)
tensor(0.3282286525, grad_fn=<DivBackward0>)
tensor(0.3250764906, grad_fn=<DivBackward0>)
tensor(0.3253914714, grad_fn=<DivBackward0>)
tensor(0.3206058443, grad_fn=<DivBackward0>)
tensor(0.3237341046, grad_fn=<DivBackward0>)
tensor(0.3199268281, grad_fn=<DivBackward0>)
tensor(0.3182536662, grad_fn=<DivBackward0>)
tensor(0.3198092282, grad_fn=<DivBackward0>)
tensor(0.3138068616, grad_fn=<DivBackward0>)
tensor(0.3173242211, grad_fn=<DivBackward0>)
tensor(0.3121730685, grad_fn=<DivBackward0>)
tensor(0.3119967878, grad_fn=<DivBackward0>)
tensor(0.3156959414, grad_fn=<DivBackward0>)
tensor(0.3170936704, grad_fn=<DivBackward0>)
tensor(0.3107573688, grad_fn=<DivBackward0>)
tensor(0.3154060245, grad_fn=<DivBackward0>)
tensor(0.3148356676, grad_fn=<DivBackward0>)
tensor(0.3180371225, grad_fn=<DivBackward0>)
tensor(0.3154466748, grad_fn=<DivBackward0>)
tensor(0.3132463694, grad_fn=<DivBackward0>)
tensor(0.3173283339, grad_fn=<DivBackward0>)
tensor(0.3200000525, grad_fn=<DivBackward0>)
tensor(0.3166256547, grad_fn=<DivBackward0>)
tensor(0.3133013844, grad_fn=<DivBackward0>)
tensor(0.3133979738, grad_fn=<DivBackward0>)
tensor(0.3124020398, grad_fn=<DivBackward0>)
tensor(0.3087756038, grad_fn=<DivBackward0>)
tensor(0.3165734708, grad_fn=<DivBackward0>)
tensor(0.3070036471, grad_fn=<DivBackward0>)
tensor(0.3157575727, grad_fn=<DivBackward0>)
tensor(0.3142132461, grad_fn=<DivBackward0>)
tensor(0.3111098111, grad_fn=<DivBackward0>)
tensor(0.3087992966, grad_fn=<DivBackward0>)
tensor(0.3148124814, grad_fn=<DivBackward0>)
tensor(0.3138540387, grad_fn=<DivBackward0>)
tensor(0.3101546764, grad_fn=<DivBackward0>)
tensor(0.3154124618, grad_fn=<DivBackward0>)
tensor(0.3130007684, grad_fn=<DivBackward0>)
tensor(0.3108569980, grad_fn=<DivBackward0>)
tensor(0.3121507168, grad_fn=<DivBackward0>)
tensor(0.3106836081, grad_fn=<DivBackward0>)
tensor(0.3124150038, grad_fn=<DivBackward0>)
tensor(0.3128864467, grad_fn=<DivBackward0>)
tensor(0.3084297478, grad_fn=<DivBackward0>)
tensor(0.3113420606, grad_fn=<DivBackward0>)
tensor(0.3109146059, grad_fn=<DivBackward0>)
tensor(0.3077261150, grad_fn=<DivBackward0>)
tensor(0.3080237508, grad_fn=<DivBackward0>)
tensor(0.3080378473, grad_fn=<DivBackward0>)
tensor(0.3096596003, grad_fn=<DivBackward0>)
tensor(0.3100543916, grad_fn=<DivBackward0>)
tensor(0.3089731336, grad_fn=<DivBackward0>)
tensor(0.3118181229, grad_fn=<DivBackward0>)
tensor(0.3097289503, grad_fn=<DivBackward0>)
tensor(0.3046984971, grad_fn=<DivBackward0>)
tensor(0.3112008870, grad_fn=<DivBackward0>)
tensor(0.3115198016, grad_fn=<DivBackward0>)
tensor(0.3125075400, grad_fn=<DivBackward0>)
tensor(0.3122020066, grad_fn=<DivBackward0>)
tensor(0.3149767220, grad_fn=<DivBackward0>)
tensor(0.3102848530, grad_fn=<DivBackward0>)
tensor(0.3095886409, grad_fn=<DivBackward0>)
tensor(0.3122673929, grad_fn=<DivBackward0>)
tensor(0.3111116886, grad_fn=<DivBackward0>)
tensor(0.3106728494, grad_fn=<DivBackward0>)
tensor(0.3066352010, grad_fn=<DivBackward0>)
tensor(0.3099437356, grad_fn=<DivBackward0>)
tensor(0.3146992326, grad_fn=<DivBackward0>)
tensor(0.3105773926, grad_fn=<DivBackward0>)
tensor(0.3144330978, grad_fn=<DivBackward0>)
tensor(0.3166767955, grad_fn=<DivBackward0>)
tensor(0.3102429211, grad_fn=<DivBackward0>)
tensor(0.3120480776, grad_fn=<DivBackward0>)
tensor(0.3162445724, grad_fn=<DivBackward0>)
tensor(0.3125892878, grad_fn=<DivBackward0>)
tensor(0.3166440725, grad_fn=<DivBackward0>)
tensor(0.3091232777, grad_fn=<DivBackward0>)
tensor(0.3126113713, grad_fn=<DivBackward0>)
tensor(0.3112500608, grad_fn=<DivBackward0>)
tensor(0.3125608563, grad_fn=<DivBackward0>)
tensor(0.3109446168, grad_fn=<DivBackward0>)
tensor(0.3156634271, grad_fn=<DivBackward0>)
tensor(0.3052938879, grad_fn=<DivBackward0>)
tensor(0.3117985427, grad_fn=<DivBackward0>)
tensor(0.2941416800, grad_fn=<DivBackward0>)
tensor(0.2891916037, grad_fn=<DivBackward0>)
tensor(0.2845841646, grad_fn=<DivBackward0>)
tensor(0.2795282602, grad_fn=<DivBackward0>)
tensor(0.2819547355, grad_fn=<DivBackward0>)
tensor(0.2840551138, grad_fn=<DivBackward0>)
tensor(0.2813275158, grad_fn=<DivBackward0>)
tensor(0.2790375352, grad_fn=<DivBackward0>)
tensor(0.2769501209, grad_fn=<DivBackward0>)
tensor(0.2763944864, grad_fn=<DivBackward0>)
tensor(0.2761076987, grad_fn=<DivBackward0>)
tensor(0.2753627598, grad_fn=<DivBackward0>)
tensor(0.2714135647, grad_fn=<DivBackward0>)
tensor(0.2709508240, grad_fn=<DivBackward0>)
tensor(0.2745627463, grad_fn=<DivBackward0>)
tensor(0.2785579264, grad_fn=<DivBackward0>)
tensor(0.2743105888, grad_fn=<DivBackward0>)
tensor(0.2737849653, grad_fn=<DivBackward0>)
tensor(0.2733409703, grad_fn=<DivBackward0>)
tensor(0.2805610001, grad_fn=<DivBackward0>)
tensor(0.2726297379, grad_fn=<DivBackward0>)
tensor(0.2769238353, grad_fn=<DivBackward0>)
tensor(0.2737259567, grad_fn=<DivBackward0>)
tensor(0.2766045332, grad_fn=<DivBackward0>)
