tensor(0.2995161116, grad_fn=<DivBackward0>)
tensor(0.2085024118, grad_fn=<DivBackward0>)
tensor(0.2049068362, grad_fn=<DivBackward0>)
tensor(0.2027958035, grad_fn=<DivBackward0>)
tensor(0.2014981508, grad_fn=<DivBackward0>)
tensor(0.1993888468, grad_fn=<DivBackward0>)
tensor(0.1999820769, grad_fn=<DivBackward0>)
tensor(0.2002630234, grad_fn=<DivBackward0>)
tensor(0.1990327388, grad_fn=<DivBackward0>)
tensor(0.2003691792, grad_fn=<DivBackward0>)
tensor(0.1987897307, grad_fn=<DivBackward0>)
tensor(0.1990909129, grad_fn=<DivBackward0>)
tensor(0.1988691688, grad_fn=<DivBackward0>)
tensor(0.1978449821, grad_fn=<DivBackward0>)
tensor(0.1988162845, grad_fn=<DivBackward0>)
tensor(0.1981163919, grad_fn=<DivBackward0>)
tensor(0.1985243410, grad_fn=<DivBackward0>)
tensor(0.1986908913, grad_fn=<DivBackward0>)
tensor(0.1979897320, grad_fn=<DivBackward0>)
tensor(0.1983523369, grad_fn=<DivBackward0>)
tensor(0.1978555173, grad_fn=<DivBackward0>)
tensor(0.1982164532, grad_fn=<DivBackward0>)
tensor(0.1993179619, grad_fn=<DivBackward0>)
tensor(0.1992099285, grad_fn=<DivBackward0>)
tensor(0.1972432584, grad_fn=<DivBackward0>)
tensor(0.1982066631, grad_fn=<DivBackward0>)
tensor(0.1968525946, grad_fn=<DivBackward0>)
tensor(0.1974965632, grad_fn=<DivBackward0>)
tensor(0.1970187277, grad_fn=<DivBackward0>)
tensor(0.1977252960, grad_fn=<DivBackward0>)
tensor(0.1967969239, grad_fn=<DivBackward0>)
tensor(0.1979413778, grad_fn=<DivBackward0>)
tensor(0.1987250000, grad_fn=<DivBackward0>)
tensor(0.1978938729, grad_fn=<DivBackward0>)
tensor(0.1972219199, grad_fn=<DivBackward0>)
tensor(0.1977420896, grad_fn=<DivBackward0>)
tensor(0.1979239583, grad_fn=<DivBackward0>)
tensor(0.1975781918, grad_fn=<DivBackward0>)
tensor(0.1979315430, grad_fn=<DivBackward0>)
tensor(0.1975860447, grad_fn=<DivBackward0>)
tensor(0.1971081346, grad_fn=<DivBackward0>)
tensor(0.1976085156, grad_fn=<DivBackward0>)
tensor(0.1975829601, grad_fn=<DivBackward0>)
tensor(0.1969139576, grad_fn=<DivBackward0>)
tensor(0.1968793273, grad_fn=<DivBackward0>)
tensor(0.1966411322, grad_fn=<DivBackward0>)
tensor(0.1980146915, grad_fn=<DivBackward0>)
tensor(0.1971422136, grad_fn=<DivBackward0>)
tensor(0.1981623918, grad_fn=<DivBackward0>)
tensor(0.1968842447, grad_fn=<DivBackward0>)
tensor(0.1979808360, grad_fn=<DivBackward0>)
tensor(0.1974654049, grad_fn=<DivBackward0>)
tensor(0.1966273934, grad_fn=<DivBackward0>)
tensor(0.1976910084, grad_fn=<DivBackward0>)
tensor(0.1974430531, grad_fn=<DivBackward0>)
tensor(0.1968583614, grad_fn=<DivBackward0>)
tensor(0.1979755461, grad_fn=<DivBackward0>)
tensor(0.1977525800, grad_fn=<DivBackward0>)
tensor(0.1971367151, grad_fn=<DivBackward0>)
tensor(0.1985306740, grad_fn=<DivBackward0>)
tensor(0.1974425167, grad_fn=<DivBackward0>)
tensor(0.1975271255, grad_fn=<DivBackward0>)
tensor(0.1977637112, grad_fn=<DivBackward0>)
tensor(0.1977743804, grad_fn=<DivBackward0>)
tensor(0.1983649880, grad_fn=<DivBackward0>)
tensor(0.1978393197, grad_fn=<DivBackward0>)
tensor(0.1962072551, grad_fn=<DivBackward0>)
tensor(0.1986895055, grad_fn=<DivBackward0>)
tensor(0.1970831901, grad_fn=<DivBackward0>)
tensor(0.1972542256, grad_fn=<DivBackward0>)
tensor(0.1982658356, grad_fn=<DivBackward0>)
tensor(0.1975799948, grad_fn=<DivBackward0>)
tensor(0.1979031861, grad_fn=<DivBackward0>)
tensor(0.1968482584, grad_fn=<DivBackward0>)
tensor(0.1968860924, grad_fn=<DivBackward0>)
tensor(0.1975506246, grad_fn=<DivBackward0>)
tensor(0.1980226934, grad_fn=<DivBackward0>)
tensor(0.1976802200, grad_fn=<DivBackward0>)
tensor(0.1973829120, grad_fn=<DivBackward0>)
tensor(0.1972019523, grad_fn=<DivBackward0>)
tensor(0.1993372589, grad_fn=<DivBackward0>)
tensor(0.1975246966, grad_fn=<DivBackward0>)
tensor(0.1968379170, grad_fn=<DivBackward0>)
tensor(0.1984719783, grad_fn=<DivBackward0>)
tensor(0.1973664761, grad_fn=<DivBackward0>)
tensor(0.1980446875, grad_fn=<DivBackward0>)
tensor(0.1965094358, grad_fn=<DivBackward0>)
tensor(0.1956606805, grad_fn=<DivBackward0>)
tensor(0.1960992217, grad_fn=<DivBackward0>)
tensor(0.1977846175, grad_fn=<DivBackward0>)
tensor(0.1969276816, grad_fn=<DivBackward0>)
tensor(0.1970749795, grad_fn=<DivBackward0>)
tensor(0.1960979700, grad_fn=<DivBackward0>)
tensor(0.1976785511, grad_fn=<DivBackward0>)
tensor(0.1971946210, grad_fn=<DivBackward0>)
tensor(0.1967531443, grad_fn=<DivBackward0>)
tensor(0.1968587190, grad_fn=<DivBackward0>)
tensor(0.1964825690, grad_fn=<DivBackward0>)
tensor(0.1972127408, grad_fn=<DivBackward0>)
tensor(0.1966673136, grad_fn=<DivBackward0>)
tensor(0.1884099692, grad_fn=<DivBackward0>)
tensor(0.1871772856, grad_fn=<DivBackward0>)
tensor(0.1876871735, grad_fn=<DivBackward0>)
tensor(0.1877190918, grad_fn=<DivBackward0>)
tensor(0.1885517389, grad_fn=<DivBackward0>)
