tensor(0.2652373314, grad_fn=<DivBackward0>)
tensor(0.1661722511, grad_fn=<DivBackward0>)
tensor(0.1574036777, grad_fn=<DivBackward0>)
tensor(0.1538250893, grad_fn=<DivBackward0>)
tensor(0.1540688723, grad_fn=<DivBackward0>)
tensor(0.1512724012, grad_fn=<DivBackward0>)
tensor(0.1499976665, grad_fn=<DivBackward0>)
tensor(0.1504106671, grad_fn=<DivBackward0>)
tensor(0.1483600587, grad_fn=<DivBackward0>)
tensor(0.1501471698, grad_fn=<DivBackward0>)
tensor(0.1485369802, grad_fn=<DivBackward0>)
tensor(0.1495116651, grad_fn=<DivBackward0>)
tensor(0.1476164013, grad_fn=<DivBackward0>)
tensor(0.1477481276, grad_fn=<DivBackward0>)
tensor(0.1473462731, grad_fn=<DivBackward0>)
tensor(0.1481446028, grad_fn=<DivBackward0>)
tensor(0.1480978876, grad_fn=<DivBackward0>)
tensor(0.1477633864, grad_fn=<DivBackward0>)
tensor(0.1480805576, grad_fn=<DivBackward0>)
tensor(0.1463023424, grad_fn=<DivBackward0>)
tensor(0.1471557319, grad_fn=<DivBackward0>)
tensor(0.1476665288, grad_fn=<DivBackward0>)
tensor(0.1463920623, grad_fn=<DivBackward0>)
tensor(0.1469165832, grad_fn=<DivBackward0>)
tensor(0.1466201395, grad_fn=<DivBackward0>)
tensor(0.1473925859, grad_fn=<DivBackward0>)
tensor(0.1469024718, grad_fn=<DivBackward0>)
tensor(0.1465501636, grad_fn=<DivBackward0>)
tensor(0.1458551884, grad_fn=<DivBackward0>)
tensor(0.1461638063, grad_fn=<DivBackward0>)
tensor(0.1464198679, grad_fn=<DivBackward0>)
tensor(0.1461780518, grad_fn=<DivBackward0>)
tensor(0.1473401487, grad_fn=<DivBackward0>)
tensor(0.1464285553, grad_fn=<DivBackward0>)
tensor(0.1458485276, grad_fn=<DivBackward0>)
tensor(0.1448616236, grad_fn=<DivBackward0>)
tensor(0.1447059065, grad_fn=<DivBackward0>)
tensor(0.1456292719, grad_fn=<DivBackward0>)
tensor(0.1461193711, grad_fn=<DivBackward0>)
tensor(0.1464573294, grad_fn=<DivBackward0>)
tensor(0.1465386152, grad_fn=<DivBackward0>)
tensor(0.1451071650, grad_fn=<DivBackward0>)
tensor(0.1464589089, grad_fn=<DivBackward0>)
tensor(0.1462035179, grad_fn=<DivBackward0>)
tensor(0.1464106441, grad_fn=<DivBackward0>)
tensor(0.1454799026, grad_fn=<DivBackward0>)
tensor(0.1465634406, grad_fn=<DivBackward0>)
tensor(0.1466663033, grad_fn=<DivBackward0>)
tensor(0.1458616555, grad_fn=<DivBackward0>)
tensor(0.1454369873, grad_fn=<DivBackward0>)
tensor(0.1456010044, grad_fn=<DivBackward0>)
tensor(0.1467771977, grad_fn=<DivBackward0>)
tensor(0.1446919590, grad_fn=<DivBackward0>)
tensor(0.1455574334, grad_fn=<DivBackward0>)
tensor(0.1460467130, grad_fn=<DivBackward0>)
tensor(0.1458325386, grad_fn=<DivBackward0>)
tensor(0.1455396861, grad_fn=<DivBackward0>)
tensor(0.1465634704, grad_fn=<DivBackward0>)
tensor(0.1461022198, grad_fn=<DivBackward0>)
tensor(0.1463890523, grad_fn=<DivBackward0>)
tensor(0.1441079974, grad_fn=<DivBackward0>)
tensor(0.1458875090, grad_fn=<DivBackward0>)
tensor(0.1476061493, grad_fn=<DivBackward0>)
tensor(0.1460471302, grad_fn=<DivBackward0>)
tensor(0.1463016868, grad_fn=<DivBackward0>)
tensor(0.1470332146, grad_fn=<DivBackward0>)
tensor(0.1455874145, grad_fn=<DivBackward0>)
tensor(0.1451039910, grad_fn=<DivBackward0>)
tensor(0.1456629634, grad_fn=<DivBackward0>)
tensor(0.1451034844, grad_fn=<DivBackward0>)
tensor(0.1438556015, grad_fn=<DivBackward0>)
tensor(0.1458969712, grad_fn=<DivBackward0>)
tensor(0.1445950121, grad_fn=<DivBackward0>)
tensor(0.1450916827, grad_fn=<DivBackward0>)
tensor(0.1454981416, grad_fn=<DivBackward0>)
tensor(0.1447293311, grad_fn=<DivBackward0>)
tensor(0.1450575292, grad_fn=<DivBackward0>)
tensor(0.1467363387, grad_fn=<DivBackward0>)
tensor(0.1456758529, grad_fn=<DivBackward0>)
tensor(0.1448430419, grad_fn=<DivBackward0>)
tensor(0.1451704800, grad_fn=<DivBackward0>)
tensor(0.1456617117, grad_fn=<DivBackward0>)
tensor(0.1460332125, grad_fn=<DivBackward0>)
tensor(0.1461772472, grad_fn=<DivBackward0>)
tensor(0.1451240480, grad_fn=<DivBackward0>)
tensor(0.1446262449, grad_fn=<DivBackward0>)
tensor(0.1441702992, grad_fn=<DivBackward0>)
tensor(0.1448828131, grad_fn=<DivBackward0>)
tensor(0.1446942687, grad_fn=<DivBackward0>)
tensor(0.1456248909, grad_fn=<DivBackward0>)
tensor(0.1452350020, grad_fn=<DivBackward0>)
tensor(0.1451250613, grad_fn=<DivBackward0>)
tensor(0.1451650113, grad_fn=<DivBackward0>)
tensor(0.1453292370, grad_fn=<DivBackward0>)
tensor(0.1460096985, grad_fn=<DivBackward0>)
tensor(0.1447992921, grad_fn=<DivBackward0>)
tensor(0.1449920982, grad_fn=<DivBackward0>)
tensor(0.1461019218, grad_fn=<DivBackward0>)
tensor(0.1452067196, grad_fn=<DivBackward0>)
tensor(0.1452106535, grad_fn=<DivBackward0>)
tensor(0.1394575685, grad_fn=<DivBackward0>)
tensor(0.1352260262, grad_fn=<DivBackward0>)
tensor(0.1336933225, grad_fn=<DivBackward0>)
tensor(0.1323556751, grad_fn=<DivBackward0>)
tensor(0.1314330250, grad_fn=<DivBackward0>)
tensor(0.1324488223, grad_fn=<DivBackward0>)
tensor(0.1321910024, grad_fn=<DivBackward0>)
tensor(0.1328672320, grad_fn=<DivBackward0>)
tensor(0.1326947212, grad_fn=<DivBackward0>)
tensor(0.1330175549, grad_fn=<DivBackward0>)
tensor(0.1328773946, grad_fn=<DivBackward0>)
tensor(0.1334817261, grad_fn=<DivBackward0>)
tensor(0.1340699941, grad_fn=<DivBackward0>)
tensor(0.1328334659, grad_fn=<DivBackward0>)
tensor(0.1339912564, grad_fn=<DivBackward0>)
tensor(0.1340945065, grad_fn=<DivBackward0>)
tensor(0.1342681944, grad_fn=<DivBackward0>)
