tensor(0.5658040047, grad_fn=<DivBackward0>)
tensor(0.4732901454, grad_fn=<DivBackward0>)
tensor(0.4304929972, grad_fn=<DivBackward0>)
tensor(0.4112775624, grad_fn=<DivBackward0>)
tensor(0.3914117217, grad_fn=<DivBackward0>)
tensor(0.3796900809, grad_fn=<DivBackward0>)
tensor(0.3733886778, grad_fn=<DivBackward0>)
tensor(0.3677305579, grad_fn=<DivBackward0>)
tensor(0.3687106967, grad_fn=<DivBackward0>)
tensor(0.3623143137, grad_fn=<DivBackward0>)
tensor(0.3645672500, grad_fn=<DivBackward0>)
tensor(0.3642331660, grad_fn=<DivBackward0>)
tensor(0.3598375916, grad_fn=<DivBackward0>)
tensor(0.3541607857, grad_fn=<DivBackward0>)
tensor(0.3549205363, grad_fn=<DivBackward0>)
tensor(0.3563914299, grad_fn=<DivBackward0>)
tensor(0.3537522256, grad_fn=<DivBackward0>)
tensor(0.3587318957, grad_fn=<DivBackward0>)
tensor(0.3523988128, grad_fn=<DivBackward0>)
tensor(0.3525493741, grad_fn=<DivBackward0>)
tensor(0.3520789444, grad_fn=<DivBackward0>)
tensor(0.3469221890, grad_fn=<DivBackward0>)
tensor(0.3534670472, grad_fn=<DivBackward0>)
tensor(0.3525726497, grad_fn=<DivBackward0>)
tensor(0.3457236886, grad_fn=<DivBackward0>)
tensor(0.3504592180, grad_fn=<DivBackward0>)
tensor(0.3512938917, grad_fn=<DivBackward0>)
tensor(0.3484725058, grad_fn=<DivBackward0>)
tensor(0.3484992087, grad_fn=<DivBackward0>)
tensor(0.3542335927, grad_fn=<DivBackward0>)
tensor(0.3469370902, grad_fn=<DivBackward0>)
tensor(0.3439142704, grad_fn=<DivBackward0>)
tensor(0.3475458920, grad_fn=<DivBackward0>)
tensor(0.3473914564, grad_fn=<DivBackward0>)
tensor(0.3502213955, grad_fn=<DivBackward0>)
tensor(0.3472458720, grad_fn=<DivBackward0>)
tensor(0.3497445285, grad_fn=<DivBackward0>)
tensor(0.3483422995, grad_fn=<DivBackward0>)
tensor(0.3449130952, grad_fn=<DivBackward0>)
tensor(0.3458130658, grad_fn=<DivBackward0>)
tensor(0.3515149653, grad_fn=<DivBackward0>)
tensor(0.3436071873, grad_fn=<DivBackward0>)
tensor(0.3504908085, grad_fn=<DivBackward0>)
tensor(0.3449733853, grad_fn=<DivBackward0>)
tensor(0.3411278725, grad_fn=<DivBackward0>)
tensor(0.3462389112, grad_fn=<DivBackward0>)
tensor(0.3426297009, grad_fn=<DivBackward0>)
tensor(0.3477357626, grad_fn=<DivBackward0>)
tensor(0.3442412317, grad_fn=<DivBackward0>)
tensor(0.3477518559, grad_fn=<DivBackward0>)
tensor(0.3457974494, grad_fn=<DivBackward0>)
tensor(0.3509543240, grad_fn=<DivBackward0>)
tensor(0.3441564441, grad_fn=<DivBackward0>)
tensor(0.3475583196, grad_fn=<DivBackward0>)
tensor(0.3470350504, grad_fn=<DivBackward0>)
tensor(0.3465594351, grad_fn=<DivBackward0>)
tensor(0.3518163264, grad_fn=<DivBackward0>)
tensor(0.3498538733, grad_fn=<DivBackward0>)
tensor(0.3481540680, grad_fn=<DivBackward0>)
tensor(0.3466116488, grad_fn=<DivBackward0>)
tensor(0.3497376144, grad_fn=<DivBackward0>)
tensor(0.3477863073, grad_fn=<DivBackward0>)
tensor(0.3543824553, grad_fn=<DivBackward0>)
tensor(0.3505493999, grad_fn=<DivBackward0>)
tensor(0.3526409864, grad_fn=<DivBackward0>)
tensor(0.3474782407, grad_fn=<DivBackward0>)
tensor(0.3484091461, grad_fn=<DivBackward0>)
tensor(0.3506460488, grad_fn=<DivBackward0>)
tensor(0.3491707444, grad_fn=<DivBackward0>)
tensor(0.3449690938, grad_fn=<DivBackward0>)
tensor(0.3462202251, grad_fn=<DivBackward0>)
tensor(0.3511681557, grad_fn=<DivBackward0>)
tensor(0.3507055044, grad_fn=<DivBackward0>)
tensor(0.3468417227, grad_fn=<DivBackward0>)
tensor(0.3449395895, grad_fn=<DivBackward0>)
tensor(0.3461699486, grad_fn=<DivBackward0>)
tensor(0.3483645022, grad_fn=<DivBackward0>)
tensor(0.3458551168, grad_fn=<DivBackward0>)
tensor(0.3503126204, grad_fn=<DivBackward0>)
tensor(0.3457123935, grad_fn=<DivBackward0>)
tensor(0.3512918651, grad_fn=<DivBackward0>)
tensor(0.3483510315, grad_fn=<DivBackward0>)
tensor(0.3455129564, grad_fn=<DivBackward0>)
tensor(0.3480378985, grad_fn=<DivBackward0>)
tensor(0.3441846073, grad_fn=<DivBackward0>)
tensor(0.3456108868, grad_fn=<DivBackward0>)
tensor(0.3489706516, grad_fn=<DivBackward0>)
tensor(0.3490937352, grad_fn=<DivBackward0>)
tensor(0.3470378518, grad_fn=<DivBackward0>)
tensor(0.3469839096, grad_fn=<DivBackward0>)
tensor(0.3405707777, grad_fn=<DivBackward0>)
tensor(0.3406521976, grad_fn=<DivBackward0>)
tensor(0.3463862240, grad_fn=<DivBackward0>)
tensor(0.3455325365, grad_fn=<DivBackward0>)
tensor(0.3461780250, grad_fn=<DivBackward0>)
tensor(0.3399229646, grad_fn=<DivBackward0>)
tensor(0.3406490386, grad_fn=<DivBackward0>)
tensor(0.3399637938, grad_fn=<DivBackward0>)
tensor(0.3460055590, grad_fn=<DivBackward0>)
tensor(0.3391095400, grad_fn=<DivBackward0>)
tensor(0.3299765885, grad_fn=<DivBackward0>)
tensor(0.3185532987, grad_fn=<DivBackward0>)
tensor(0.3129494488, grad_fn=<DivBackward0>)
tensor(0.3045095503, grad_fn=<DivBackward0>)
tensor(0.3059186041, grad_fn=<DivBackward0>)
tensor(0.3035743833, grad_fn=<DivBackward0>)
tensor(0.3057794273, grad_fn=<DivBackward0>)
tensor(0.3022919595, grad_fn=<DivBackward0>)
tensor(0.3035591245, grad_fn=<DivBackward0>)
tensor(0.3030308187, grad_fn=<DivBackward0>)
tensor(0.3024125099, grad_fn=<DivBackward0>)
tensor(0.3022932708, grad_fn=<DivBackward0>)
tensor(0.3018336892, grad_fn=<DivBackward0>)
tensor(0.2953327298, grad_fn=<DivBackward0>)
tensor(0.3022025824, grad_fn=<DivBackward0>)
tensor(0.3050728738, grad_fn=<DivBackward0>)
tensor(0.2977388501, grad_fn=<DivBackward0>)
tensor(0.2999056876, grad_fn=<DivBackward0>)
tensor(0.2992011309, grad_fn=<DivBackward0>)
tensor(0.3030592203, grad_fn=<DivBackward0>)
tensor(0.3011150062, grad_fn=<DivBackward0>)
tensor(0.3015527725, grad_fn=<DivBackward0>)
tensor(0.3003077209, grad_fn=<DivBackward0>)
tensor(0.2994103730, grad_fn=<DivBackward0>)
tensor(0.3020294607, grad_fn=<DivBackward0>)
