tensor(0.6044437885, grad_fn=<DivBackward0>)
tensor(0.4970705211, grad_fn=<DivBackward0>)
tensor(0.4486996531, grad_fn=<DivBackward0>)
tensor(0.4233844578, grad_fn=<DivBackward0>)
tensor(0.4017101228, grad_fn=<DivBackward0>)
tensor(0.3995970190, grad_fn=<DivBackward0>)
tensor(0.3913136423, grad_fn=<DivBackward0>)
tensor(0.3944818974, grad_fn=<DivBackward0>)
tensor(0.3909564614, grad_fn=<DivBackward0>)
tensor(0.3908343613, grad_fn=<DivBackward0>)
tensor(0.3869698048, grad_fn=<DivBackward0>)
tensor(0.3848194778, grad_fn=<DivBackward0>)
tensor(0.3841212094, grad_fn=<DivBackward0>)
tensor(0.3845631182, grad_fn=<DivBackward0>)
tensor(0.3799248636, grad_fn=<DivBackward0>)
tensor(0.3863337040, grad_fn=<DivBackward0>)
tensor(0.3857084513, grad_fn=<DivBackward0>)
tensor(0.3869142532, grad_fn=<DivBackward0>)
tensor(0.3797351718, grad_fn=<DivBackward0>)
tensor(0.3830461204, grad_fn=<DivBackward0>)
tensor(0.3850659430, grad_fn=<DivBackward0>)
tensor(0.3821450770, grad_fn=<DivBackward0>)
tensor(0.3819670975, grad_fn=<DivBackward0>)
tensor(0.3852491081, grad_fn=<DivBackward0>)
tensor(0.3794581890, grad_fn=<DivBackward0>)
tensor(0.3829862475, grad_fn=<DivBackward0>)
tensor(0.3778373599, grad_fn=<DivBackward0>)
tensor(0.3822554946, grad_fn=<DivBackward0>)
tensor(0.3737309575, grad_fn=<DivBackward0>)
tensor(0.3847898245, grad_fn=<DivBackward0>)
tensor(0.3781398535, grad_fn=<DivBackward0>)
tensor(0.3787900805, grad_fn=<DivBackward0>)
tensor(0.3864462078, grad_fn=<DivBackward0>)
tensor(0.3874732852, grad_fn=<DivBackward0>)
tensor(0.3799028993, grad_fn=<DivBackward0>)
tensor(0.3803728223, grad_fn=<DivBackward0>)
tensor(0.3830083609, grad_fn=<DivBackward0>)
tensor(0.3801185787, grad_fn=<DivBackward0>)
tensor(0.3767269850, grad_fn=<DivBackward0>)
tensor(0.3850685060, grad_fn=<DivBackward0>)
tensor(0.3779348433, grad_fn=<DivBackward0>)
tensor(0.3805097044, grad_fn=<DivBackward0>)
tensor(0.3812898695, grad_fn=<DivBackward0>)
tensor(0.3828791082, grad_fn=<DivBackward0>)
tensor(0.3756874502, grad_fn=<DivBackward0>)
tensor(0.3799976110, grad_fn=<DivBackward0>)
tensor(0.3817710280, grad_fn=<DivBackward0>)
tensor(0.3804105818, grad_fn=<DivBackward0>)
tensor(0.3847759664, grad_fn=<DivBackward0>)
tensor(0.3862552643, grad_fn=<DivBackward0>)
tensor(0.3840497732, grad_fn=<DivBackward0>)
tensor(0.3785876334, grad_fn=<DivBackward0>)
tensor(0.3858605325, grad_fn=<DivBackward0>)
tensor(0.3762574494, grad_fn=<DivBackward0>)
tensor(0.3826586306, grad_fn=<DivBackward0>)
tensor(0.3839816451, grad_fn=<DivBackward0>)
tensor(0.3809855282, grad_fn=<DivBackward0>)
