tensor(0.2630577981, grad_fn=<DivBackward0>)
tensor(0.1643100977, grad_fn=<DivBackward0>)
tensor(0.1583598256, grad_fn=<DivBackward0>)
tensor(0.1549806595, grad_fn=<DivBackward0>)
tensor(0.1532259732, grad_fn=<DivBackward0>)
tensor(0.1527232528, grad_fn=<DivBackward0>)
tensor(0.1512486339, grad_fn=<DivBackward0>)
tensor(0.1515650004, grad_fn=<DivBackward0>)
tensor(0.1508606374, grad_fn=<DivBackward0>)
tensor(0.1513095796, grad_fn=<DivBackward0>)
tensor(0.1501214206, grad_fn=<DivBackward0>)
tensor(0.1521398127, grad_fn=<DivBackward0>)
tensor(0.1508741081, grad_fn=<DivBackward0>)
tensor(0.1503680348, grad_fn=<DivBackward0>)
tensor(0.1500586271, grad_fn=<DivBackward0>)
tensor(0.1503644139, grad_fn=<DivBackward0>)
tensor(0.1504141837, grad_fn=<DivBackward0>)
tensor(0.1499143690, grad_fn=<DivBackward0>)
tensor(0.1486540437, grad_fn=<DivBackward0>)
tensor(0.1504832655, grad_fn=<DivBackward0>)
tensor(0.1490648091, grad_fn=<DivBackward0>)
tensor(0.1501050889, grad_fn=<DivBackward0>)
tensor(0.1489034295, grad_fn=<DivBackward0>)
tensor(0.1489331722, grad_fn=<DivBackward0>)
tensor(0.1488915831, grad_fn=<DivBackward0>)
tensor(0.1480019689, grad_fn=<DivBackward0>)
tensor(0.1482470930, grad_fn=<DivBackward0>)
tensor(0.1472264677, grad_fn=<DivBackward0>)
tensor(0.1487054825, grad_fn=<DivBackward0>)
tensor(0.1490304917, grad_fn=<DivBackward0>)
tensor(0.1484199464, grad_fn=<DivBackward0>)
tensor(0.1483314186, grad_fn=<DivBackward0>)
tensor(0.1479457021, grad_fn=<DivBackward0>)
tensor(0.1482397169, grad_fn=<DivBackward0>)
tensor(0.1481724232, grad_fn=<DivBackward0>)
tensor(0.1472611427, grad_fn=<DivBackward0>)
tensor(0.1474009007, grad_fn=<DivBackward0>)
tensor(0.1483420730, grad_fn=<DivBackward0>)
tensor(0.1474857777, grad_fn=<DivBackward0>)
tensor(0.1480569690, grad_fn=<DivBackward0>)
tensor(0.1479248405, grad_fn=<DivBackward0>)
tensor(0.1474296004, grad_fn=<DivBackward0>)
tensor(0.1472980678, grad_fn=<DivBackward0>)
tensor(0.1475617588, grad_fn=<DivBackward0>)
tensor(0.1479043663, grad_fn=<DivBackward0>)
tensor(0.1486657113, grad_fn=<DivBackward0>)
tensor(0.1489160508, grad_fn=<DivBackward0>)
tensor(0.1465138793, grad_fn=<DivBackward0>)
tensor(0.1474591643, grad_fn=<DivBackward0>)
tensor(0.1480394006, grad_fn=<DivBackward0>)
tensor(0.1479043067, grad_fn=<DivBackward0>)
tensor(0.1479588747, grad_fn=<DivBackward0>)
tensor(0.1475616544, grad_fn=<DivBackward0>)
tensor(0.1480002999, grad_fn=<DivBackward0>)
tensor(0.1479774117, grad_fn=<DivBackward0>)
tensor(0.1487085968, grad_fn=<DivBackward0>)
tensor(0.1462515593, grad_fn=<DivBackward0>)
tensor(0.1483959407, grad_fn=<DivBackward0>)
tensor(0.1470153332, grad_fn=<DivBackward0>)
tensor(0.1481830627, grad_fn=<DivBackward0>)
tensor(0.1464710534, grad_fn=<DivBackward0>)
tensor(0.1470126957, grad_fn=<DivBackward0>)
tensor(0.1482203901, grad_fn=<DivBackward0>)
tensor(0.1474552304, grad_fn=<DivBackward0>)
tensor(0.1480123252, grad_fn=<DivBackward0>)
tensor(0.1475079060, grad_fn=<DivBackward0>)
tensor(0.1472466588, grad_fn=<DivBackward0>)
tensor(0.1468458176, grad_fn=<DivBackward0>)
tensor(0.1467307508, grad_fn=<DivBackward0>)
tensor(0.1460652202, grad_fn=<DivBackward0>)
tensor(0.1468599886, grad_fn=<DivBackward0>)
tensor(0.1461862475, grad_fn=<DivBackward0>)
tensor(0.1473388672, grad_fn=<DivBackward0>)
tensor(0.1465053111, grad_fn=<DivBackward0>)
tensor(0.1465815753, grad_fn=<DivBackward0>)
tensor(0.1469942629, grad_fn=<DivBackward0>)
tensor(0.1457871050, grad_fn=<DivBackward0>)
tensor(0.1469013542, grad_fn=<DivBackward0>)
tensor(0.1467352211, grad_fn=<DivBackward0>)
tensor(0.1469817013, grad_fn=<DivBackward0>)
tensor(0.1455384642, grad_fn=<DivBackward0>)
tensor(0.1478737295, grad_fn=<DivBackward0>)
tensor(0.1474862546, grad_fn=<DivBackward0>)
tensor(0.1474371850, grad_fn=<DivBackward0>)
