tensor(0.2650845349, grad_fn=<DivBackward0>)
tensor(0.1645785123, grad_fn=<DivBackward0>)
tensor(0.1584538817, grad_fn=<DivBackward0>)
tensor(0.1537349075, grad_fn=<DivBackward0>)
tensor(0.1527260393, grad_fn=<DivBackward0>)
tensor(0.1530220956, grad_fn=<DivBackward0>)
tensor(0.1515497416, grad_fn=<DivBackward0>)
tensor(0.1517567188, grad_fn=<DivBackward0>)
tensor(0.1511683613, grad_fn=<DivBackward0>)
tensor(0.1516089439, grad_fn=<DivBackward0>)
tensor(0.1514350325, grad_fn=<DivBackward0>)
tensor(0.1507138759, grad_fn=<DivBackward0>)
tensor(0.1499107480, grad_fn=<DivBackward0>)
tensor(0.1505988687, grad_fn=<DivBackward0>)
tensor(0.1505074054, grad_fn=<DivBackward0>)
tensor(0.1507046074, grad_fn=<DivBackward0>)
tensor(0.1505279243, grad_fn=<DivBackward0>)
tensor(0.1497092843, grad_fn=<DivBackward0>)
tensor(0.1499946564, grad_fn=<DivBackward0>)
tensor(0.1500851065, grad_fn=<DivBackward0>)
tensor(0.1507767290, grad_fn=<DivBackward0>)
tensor(0.1495357156, grad_fn=<DivBackward0>)
tensor(0.1488143057, grad_fn=<DivBackward0>)
tensor(0.1496606767, grad_fn=<DivBackward0>)
tensor(0.1493031979, grad_fn=<DivBackward0>)
tensor(0.1481621414, grad_fn=<DivBackward0>)
tensor(0.1492861956, grad_fn=<DivBackward0>)
tensor(0.1490692198, grad_fn=<DivBackward0>)
tensor(0.1486904323, grad_fn=<DivBackward0>)
tensor(0.1488559395, grad_fn=<DivBackward0>)
tensor(0.1490670890, grad_fn=<DivBackward0>)
tensor(0.1488882601, grad_fn=<DivBackward0>)
tensor(0.1481660008, grad_fn=<DivBackward0>)
tensor(0.1486538351, grad_fn=<DivBackward0>)
tensor(0.1483072191, grad_fn=<DivBackward0>)
tensor(0.1484888494, grad_fn=<DivBackward0>)
tensor(0.1478101611, grad_fn=<DivBackward0>)
tensor(0.1487818062, grad_fn=<DivBackward0>)
tensor(0.1476588249, grad_fn=<DivBackward0>)
tensor(0.1480987668, grad_fn=<DivBackward0>)
tensor(0.1478040516, grad_fn=<DivBackward0>)
tensor(0.1482312977, grad_fn=<DivBackward0>)
tensor(0.1485782713, grad_fn=<DivBackward0>)
tensor(0.1488803029, grad_fn=<DivBackward0>)
tensor(0.1479262263, grad_fn=<DivBackward0>)
tensor(0.1492925733, grad_fn=<DivBackward0>)
tensor(0.1478190720, grad_fn=<DivBackward0>)
tensor(0.1480147392, grad_fn=<DivBackward0>)
tensor(0.1474198252, grad_fn=<DivBackward0>)
tensor(0.1481584460, grad_fn=<DivBackward0>)
tensor(0.1482380778, grad_fn=<DivBackward0>)
tensor(0.1481934488, grad_fn=<DivBackward0>)
tensor(0.1473761648, grad_fn=<DivBackward0>)
tensor(0.1479030848, grad_fn=<DivBackward0>)
tensor(0.1489249617, grad_fn=<DivBackward0>)
tensor(0.1474707425, grad_fn=<DivBackward0>)
tensor(0.1474342048, grad_fn=<DivBackward0>)
tensor(0.1480306536, grad_fn=<DivBackward0>)
tensor(0.1480328888, grad_fn=<DivBackward0>)
tensor(0.1481314600, grad_fn=<DivBackward0>)
tensor(0.1464082152, grad_fn=<DivBackward0>)
tensor(0.1472128630, grad_fn=<DivBackward0>)
tensor(0.1490307897, grad_fn=<DivBackward0>)
tensor(0.1464696229, grad_fn=<DivBackward0>)
tensor(0.1489774734, grad_fn=<DivBackward0>)
tensor(0.1483832896, grad_fn=<DivBackward0>)
tensor(0.1487450153, grad_fn=<DivBackward0>)
tensor(0.1474294215, grad_fn=<DivBackward0>)
tensor(0.1471609473, grad_fn=<DivBackward0>)
tensor(0.1482159793, grad_fn=<DivBackward0>)
tensor(0.1464831680, grad_fn=<DivBackward0>)
tensor(0.1480071992, grad_fn=<DivBackward0>)
tensor(0.1470243037, grad_fn=<DivBackward0>)
tensor(0.1479002684, grad_fn=<DivBackward0>)
tensor(0.1480779946, grad_fn=<DivBackward0>)
tensor(0.1475896388, grad_fn=<DivBackward0>)
tensor(0.1488143206, grad_fn=<DivBackward0>)
tensor(0.1484509856, grad_fn=<DivBackward0>)
tensor(0.1480559558, grad_fn=<DivBackward0>)
tensor(0.1482974589, grad_fn=<DivBackward0>)
tensor(0.1466864645, grad_fn=<DivBackward0>)
tensor(0.1481381655, grad_fn=<DivBackward0>)
tensor(0.1466858685, grad_fn=<DivBackward0>)
tensor(0.1476863921, grad_fn=<DivBackward0>)
tensor(0.1472730190, grad_fn=<DivBackward0>)
tensor(0.1475493163, grad_fn=<DivBackward0>)
tensor(0.1483999640, grad_fn=<DivBackward0>)
tensor(0.1483476311, grad_fn=<DivBackward0>)
tensor(0.1482180953, grad_fn=<DivBackward0>)
tensor(0.1478240788, grad_fn=<DivBackward0>)
tensor(0.1492246836, grad_fn=<DivBackward0>)
tensor(0.1481736302, grad_fn=<DivBackward0>)
tensor(0.1475090086, grad_fn=<DivBackward0>)
tensor(0.1478760689, grad_fn=<DivBackward0>)
tensor(0.1474364400, grad_fn=<DivBackward0>)
tensor(0.1485928893, grad_fn=<DivBackward0>)
tensor(0.1473882794, grad_fn=<DivBackward0>)
tensor(0.1476776451, grad_fn=<DivBackward0>)
tensor(0.1462605298, grad_fn=<DivBackward0>)
tensor(0.1477649212, grad_fn=<DivBackward0>)
tensor(0.1388744563, grad_fn=<DivBackward0>)
tensor(0.1367080212, grad_fn=<DivBackward0>)
tensor(0.1354293376, grad_fn=<DivBackward0>)
tensor(0.1349806786, grad_fn=<DivBackward0>)
tensor(0.1353390813, grad_fn=<DivBackward0>)
tensor(0.1348415464, grad_fn=<DivBackward0>)
tensor(0.1361640543, grad_fn=<DivBackward0>)
tensor(0.1358851343, grad_fn=<DivBackward0>)
tensor(0.1357181966, grad_fn=<DivBackward0>)
tensor(0.1357150972, grad_fn=<DivBackward0>)
tensor(0.1351525187, grad_fn=<DivBackward0>)
tensor(0.1365274191, grad_fn=<DivBackward0>)
tensor(0.1353619546, grad_fn=<DivBackward0>)
tensor(0.1366654783, grad_fn=<DivBackward0>)
tensor(0.1363483518, grad_fn=<DivBackward0>)
tensor(0.1370862275, grad_fn=<DivBackward0>)
tensor(0.1368447691, grad_fn=<DivBackward0>)
tensor(0.1366818845, grad_fn=<DivBackward0>)
tensor(0.1368955225, grad_fn=<DivBackward0>)
tensor(0.1382037550, grad_fn=<DivBackward0>)
tensor(0.1365783215, grad_fn=<DivBackward0>)
tensor(0.1382720768, grad_fn=<DivBackward0>)
tensor(0.1378631294, grad_fn=<DivBackward0>)
tensor(0.1366281956, grad_fn=<DivBackward0>)
tensor(0.1377221942, grad_fn=<DivBackward0>)
tensor(0.1375077367, grad_fn=<DivBackward0>)
tensor(0.1384621114, grad_fn=<DivBackward0>)
tensor(0.1384265572, grad_fn=<DivBackward0>)
tensor(0.1385313869, grad_fn=<DivBackward0>)
tensor(0.1387047768, grad_fn=<DivBackward0>)
tensor(0.1390647292, grad_fn=<DivBackward0>)
tensor(0.1394696236, grad_fn=<DivBackward0>)
tensor(0.1390746683, grad_fn=<DivBackward0>)
tensor(0.1392704099, grad_fn=<DivBackward0>)
tensor(0.1386043429, grad_fn=<DivBackward0>)
tensor(0.1398416460, grad_fn=<DivBackward0>)
tensor(0.1397074163, grad_fn=<DivBackward0>)
tensor(0.1382225603, grad_fn=<DivBackward0>)
tensor(0.1397778243, grad_fn=<DivBackward0>)
tensor(0.1399843544, grad_fn=<DivBackward0>)
tensor(0.1393398046, grad_fn=<DivBackward0>)
tensor(0.1396877319, grad_fn=<DivBackward0>)
tensor(0.1401804686, grad_fn=<DivBackward0>)
tensor(0.1401389986, grad_fn=<DivBackward0>)
tensor(0.1399835050, grad_fn=<DivBackward0>)
tensor(0.1396568716, grad_fn=<DivBackward0>)
tensor(0.1403082460, grad_fn=<DivBackward0>)
tensor(0.1392979771, grad_fn=<DivBackward0>)
tensor(0.1402750164, grad_fn=<DivBackward0>)
tensor(0.1391590536, grad_fn=<DivBackward0>)
tensor(0.1339555085, grad_fn=<DivBackward0>)
tensor(0.1336677819, grad_fn=<DivBackward0>)
tensor(0.1331760585, grad_fn=<DivBackward0>)
tensor(0.1328497976, grad_fn=<DivBackward0>)
tensor(0.1322879493, grad_fn=<DivBackward0>)
tensor(0.1329215318, grad_fn=<DivBackward0>)
tensor(0.1339826584, grad_fn=<DivBackward0>)
tensor(0.1333041191, grad_fn=<DivBackward0>)
tensor(0.1335160434, grad_fn=<DivBackward0>)
tensor(0.1334412843, grad_fn=<DivBackward0>)
tensor(0.1331571341, grad_fn=<DivBackward0>)
tensor(0.1333246231, grad_fn=<DivBackward0>)
tensor(0.1333711445, grad_fn=<DivBackward0>)
tensor(0.1333711743, grad_fn=<DivBackward0>)
tensor(0.1347990483, grad_fn=<DivBackward0>)
tensor(0.1348203421, grad_fn=<DivBackward0>)
tensor(0.1346491426, grad_fn=<DivBackward0>)
tensor(0.1350311339, grad_fn=<DivBackward0>)
tensor(0.1353526860, grad_fn=<DivBackward0>)
tensor(0.1354026347, grad_fn=<DivBackward0>)
tensor(0.1346843243, grad_fn=<DivBackward0>)
tensor(0.1359650642, grad_fn=<DivBackward0>)
tensor(0.1349637061, grad_fn=<DivBackward0>)
tensor(0.1356150657, grad_fn=<DivBackward0>)
tensor(0.1370046288, grad_fn=<DivBackward0>)
tensor(0.1357686371, grad_fn=<DivBackward0>)
tensor(0.1358173043, grad_fn=<DivBackward0>)
tensor(0.1364555955, grad_fn=<DivBackward0>)
tensor(0.1371271312, grad_fn=<DivBackward0>)
tensor(0.1364059001, grad_fn=<DivBackward0>)
tensor(0.1362518519, grad_fn=<DivBackward0>)
tensor(0.1373016536, grad_fn=<DivBackward0>)
tensor(0.1363427341, grad_fn=<DivBackward0>)
tensor(0.1370790303, grad_fn=<DivBackward0>)
tensor(0.1369034797, grad_fn=<DivBackward0>)
tensor(0.1370906681, grad_fn=<DivBackward0>)
tensor(0.1363482624, grad_fn=<DivBackward0>)
tensor(0.1372956783, grad_fn=<DivBackward0>)
tensor(0.1381122917, grad_fn=<DivBackward0>)
tensor(0.1369922310, grad_fn=<DivBackward0>)
tensor(0.1375116408, grad_fn=<DivBackward0>)
tensor(0.1376696229, grad_fn=<DivBackward0>)
tensor(0.1367995739, grad_fn=<DivBackward0>)
tensor(0.1384911984, grad_fn=<DivBackward0>)
tensor(0.1387325525, grad_fn=<DivBackward0>)
tensor(0.1382937431, grad_fn=<DivBackward0>)
tensor(0.1372770369, grad_fn=<DivBackward0>)
tensor(0.1374140084, grad_fn=<DivBackward0>)
tensor(0.1376814842, grad_fn=<DivBackward0>)
tensor(0.1375719756, grad_fn=<DivBackward0>)
tensor(0.1328608692, grad_fn=<DivBackward0>)
tensor(0.1324210763, grad_fn=<DivBackward0>)
tensor(0.1310146004, grad_fn=<DivBackward0>)
tensor(0.1319222450, grad_fn=<DivBackward0>)
tensor(0.1309027225, grad_fn=<DivBackward0>)
tensor(0.1312726140, grad_fn=<DivBackward0>)
tensor(0.1317012459, grad_fn=<DivBackward0>)
