tensor(0.2661516964, grad_fn=<DivBackward0>)
tensor(0.1641368419, grad_fn=<DivBackward0>)
tensor(0.1569642127, grad_fn=<DivBackward0>)
tensor(0.1545379013, grad_fn=<DivBackward0>)
tensor(0.1530299187, grad_fn=<DivBackward0>)
tensor(0.1526050568, grad_fn=<DivBackward0>)
tensor(0.1508465260, grad_fn=<DivBackward0>)
tensor(0.1495536417, grad_fn=<DivBackward0>)
tensor(0.1497373134, grad_fn=<DivBackward0>)
tensor(0.1501969993, grad_fn=<DivBackward0>)
tensor(0.1491922885, grad_fn=<DivBackward0>)
tensor(0.1506546587, grad_fn=<DivBackward0>)
tensor(0.1488088816, grad_fn=<DivBackward0>)
tensor(0.1495308876, grad_fn=<DivBackward0>)
tensor(0.1469967812, grad_fn=<DivBackward0>)
tensor(0.1481291950, grad_fn=<DivBackward0>)
tensor(0.1489403099, grad_fn=<DivBackward0>)
tensor(0.1473053247, grad_fn=<DivBackward0>)
tensor(0.1484193653, grad_fn=<DivBackward0>)
tensor(0.1475980729, grad_fn=<DivBackward0>)
tensor(0.1480065137, grad_fn=<DivBackward0>)
tensor(0.1468958855, grad_fn=<DivBackward0>)
tensor(0.1489286870, grad_fn=<DivBackward0>)
tensor(0.1464157552, grad_fn=<DivBackward0>)
tensor(0.1476392001, grad_fn=<DivBackward0>)
tensor(0.1481134444, grad_fn=<DivBackward0>)
tensor(0.1471316814, grad_fn=<DivBackward0>)
tensor(0.1471840739, grad_fn=<DivBackward0>)
tensor(0.1461999118, grad_fn=<DivBackward0>)
tensor(0.1484480500, grad_fn=<DivBackward0>)
tensor(0.1481385231, grad_fn=<DivBackward0>)
tensor(0.1471682042, grad_fn=<DivBackward0>)
tensor(0.1457358748, grad_fn=<DivBackward0>)
tensor(0.1455208808, grad_fn=<DivBackward0>)
tensor(0.1452343464, grad_fn=<DivBackward0>)
tensor(0.1467159390, grad_fn=<DivBackward0>)
tensor(0.1471229047, grad_fn=<DivBackward0>)
tensor(0.1472822279, grad_fn=<DivBackward0>)
tensor(0.1467211843, grad_fn=<DivBackward0>)
tensor(0.1474087685, grad_fn=<DivBackward0>)
tensor(0.1460591853, grad_fn=<DivBackward0>)
tensor(0.1467984170, grad_fn=<DivBackward0>)
tensor(0.1464729905, grad_fn=<DivBackward0>)
tensor(0.1475087702, grad_fn=<DivBackward0>)
tensor(0.1456739455, grad_fn=<DivBackward0>)
tensor(0.1453988105, grad_fn=<DivBackward0>)
tensor(0.1461388618, grad_fn=<DivBackward0>)
tensor(0.1473588794, grad_fn=<DivBackward0>)
tensor(0.1462167948, grad_fn=<DivBackward0>)
tensor(0.1463012546, grad_fn=<DivBackward0>)
tensor(0.1474160254, grad_fn=<DivBackward0>)
tensor(0.1457153559, grad_fn=<DivBackward0>)
tensor(0.1459622383, grad_fn=<DivBackward0>)
tensor(0.1452263147, grad_fn=<DivBackward0>)
tensor(0.1474473625, grad_fn=<DivBackward0>)
tensor(0.1466960013, grad_fn=<DivBackward0>)
tensor(0.1455482990, grad_fn=<DivBackward0>)
