tensor(0.5636363626, grad_fn=<DivBackward0>)
tensor(0.4640039504, grad_fn=<DivBackward0>)
tensor(0.4079425335, grad_fn=<DivBackward0>)
tensor(0.3829612732, grad_fn=<DivBackward0>)
tensor(0.3724651337, grad_fn=<DivBackward0>)
tensor(0.3626289070, grad_fn=<DivBackward0>)
tensor(0.3598854542, grad_fn=<DivBackward0>)
tensor(0.3554232419, grad_fn=<DivBackward0>)
tensor(0.3470905423, grad_fn=<DivBackward0>)
tensor(0.3441913426, grad_fn=<DivBackward0>)
tensor(0.3381941617, grad_fn=<DivBackward0>)
tensor(0.3346813023, grad_fn=<DivBackward0>)
tensor(0.3372118175, grad_fn=<DivBackward0>)
tensor(0.3299246728, grad_fn=<DivBackward0>)
tensor(0.3276161849, grad_fn=<DivBackward0>)
tensor(0.3297061324, grad_fn=<DivBackward0>)
tensor(0.3290023208, grad_fn=<DivBackward0>)
tensor(0.3304875791, grad_fn=<DivBackward0>)
tensor(0.3278509676, grad_fn=<DivBackward0>)
tensor(0.3280524313, grad_fn=<DivBackward0>)
tensor(0.3252286315, grad_fn=<DivBackward0>)
tensor(0.3292376101, grad_fn=<DivBackward0>)
tensor(0.3227997124, grad_fn=<DivBackward0>)
tensor(0.3261720538, grad_fn=<DivBackward0>)
tensor(0.3233397603, grad_fn=<DivBackward0>)
tensor(0.3243510723, grad_fn=<DivBackward0>)
tensor(0.3248628378, grad_fn=<DivBackward0>)
tensor(0.3229320645, grad_fn=<DivBackward0>)
tensor(0.3242520392, grad_fn=<DivBackward0>)
tensor(0.3291957676, grad_fn=<DivBackward0>)
tensor(0.3176617920, grad_fn=<DivBackward0>)
tensor(0.3232898116, grad_fn=<DivBackward0>)
tensor(0.3250823319, grad_fn=<DivBackward0>)
tensor(0.3230055273, grad_fn=<DivBackward0>)
tensor(0.3264260292, grad_fn=<DivBackward0>)
tensor(0.3254359066, grad_fn=<DivBackward0>)
tensor(0.3262683153, grad_fn=<DivBackward0>)
tensor(0.3237649202, grad_fn=<DivBackward0>)
tensor(0.3208735287, grad_fn=<DivBackward0>)
tensor(0.3230920434, grad_fn=<DivBackward0>)
tensor(0.3234873116, grad_fn=<DivBackward0>)
tensor(0.3266040683, grad_fn=<DivBackward0>)
tensor(0.3208968639, grad_fn=<DivBackward0>)
tensor(0.3171732426, grad_fn=<DivBackward0>)
tensor(0.3177409172, grad_fn=<DivBackward0>)
tensor(0.3265633881, grad_fn=<DivBackward0>)
tensor(0.3215355873, grad_fn=<DivBackward0>)
tensor(0.3209753036, grad_fn=<DivBackward0>)
tensor(0.3225215971, grad_fn=<DivBackward0>)
tensor(0.3222072124, grad_fn=<DivBackward0>)
tensor(0.3231895268, grad_fn=<DivBackward0>)
tensor(0.3202162087, grad_fn=<DivBackward0>)
tensor(0.3198285997, grad_fn=<DivBackward0>)
tensor(0.3153791726, grad_fn=<DivBackward0>)
tensor(0.3189881444, grad_fn=<DivBackward0>)
tensor(0.3203839958, grad_fn=<DivBackward0>)
tensor(0.3229922056, grad_fn=<DivBackward0>)
tensor(0.3209837675, grad_fn=<DivBackward0>)
tensor(0.3194035292, grad_fn=<DivBackward0>)
tensor(0.3167351782, grad_fn=<DivBackward0>)
tensor(0.3195549846, grad_fn=<DivBackward0>)
tensor(0.3199162781, grad_fn=<DivBackward0>)
tensor(0.3157396317, grad_fn=<DivBackward0>)
tensor(0.3205039501, grad_fn=<DivBackward0>)
tensor(0.3239367306, grad_fn=<DivBackward0>)
tensor(0.3204089999, grad_fn=<DivBackward0>)
tensor(0.3216928244, grad_fn=<DivBackward0>)
tensor(0.3219216764, grad_fn=<DivBackward0>)
tensor(0.3226307631, grad_fn=<DivBackward0>)
tensor(0.3205579519, grad_fn=<DivBackward0>)
tensor(0.3216665983, grad_fn=<DivBackward0>)
tensor(0.3213449121, grad_fn=<DivBackward0>)
tensor(0.3210648596, grad_fn=<DivBackward0>)
tensor(0.3235454261, grad_fn=<DivBackward0>)
tensor(0.3244901896, grad_fn=<DivBackward0>)
tensor(0.3239548504, grad_fn=<DivBackward0>)
tensor(0.3218077123, grad_fn=<DivBackward0>)
tensor(0.3195609748, grad_fn=<DivBackward0>)
tensor(0.3210573196, grad_fn=<DivBackward0>)
tensor(0.3201728761, grad_fn=<DivBackward0>)
tensor(0.3244473338, grad_fn=<DivBackward0>)
tensor(0.3192251623, grad_fn=<DivBackward0>)
tensor(0.3221555054, grad_fn=<DivBackward0>)
tensor(0.3220631182, grad_fn=<DivBackward0>)
tensor(0.3198109567, grad_fn=<DivBackward0>)
tensor(0.3215509951, grad_fn=<DivBackward0>)
tensor(0.3225463331, grad_fn=<DivBackward0>)
tensor(0.3182348609, grad_fn=<DivBackward0>)
tensor(0.3214496672, grad_fn=<DivBackward0>)
tensor(0.3241776824, grad_fn=<DivBackward0>)
tensor(0.3219421506, grad_fn=<DivBackward0>)
tensor(0.3246369362, grad_fn=<DivBackward0>)
tensor(0.3163174391, grad_fn=<DivBackward0>)
tensor(0.3227854967, grad_fn=<DivBackward0>)
