[933, 0, 5, 4, 1, 7, 18, 2, 8, 2]
[0, 1103, 5, 5, 0, 3, 4, 0, 14, 1]
[17, 19, 883, 13, 15, 2, 30, 21, 27, 5]
[12, 14, 28, 825, 4, 63, 7, 19, 27, 11]
[1, 9, 9, 1, 819, 0, 21, 4, 8, 110]
[23, 12, 5, 40, 17, 705, 25, 11, 45, 9]
[14, 5, 12, 1, 15, 16, 882, 1, 11, 1]
[4, 24, 29, 6, 15, 2, 1, 888, 3, 56]
[12, 18, 19, 34, 12, 31, 17, 12, 798, 21]
[11, 9, 7, 11, 44, 12, 8, 46, 13, 848]
