tensor(0.3039037585, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2057516575, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1978055686, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1931258589, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1894382238, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1890750080, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1883161366, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1866869926, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1848476529, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1840497851, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1852789819, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1838113070, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1841661483, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1837127805, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1822104752, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1822451949, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1837563962, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1832287163, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1822860539, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1830502450, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1823639274, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1823869497, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1817346066, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1822407693, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1822038144, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1814716160, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1814743727, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1820711344, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1842746586, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1869485080, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1888173223, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1869460791, device='cuda:0', grad_fn=<DivBackward0>)
