tensor(0.5563077927, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.4553763568, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.4032453597, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3785052896, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3735545576, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3532085121, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3536347151, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3484444618, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3443000615, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3389224708, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3378686607, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3334958851, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3357591927, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3324427903, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3336378932, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3357370198, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3276002109, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3291525841, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3340710998, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3265352249, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3305596709, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3294412196, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3211477697, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3270659149, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3206470311, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3264916837, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3244075477, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3238101006, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3242849708, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3207644820, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3264408410, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3230624795, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3172654212, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3241646290, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3173845112, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3213402927, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3150599599, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3196539879, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3155169189, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3163025379, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3111549616, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3121437430, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3121586442, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3113212287, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3150174916, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3088015616, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3117932975, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3126279116, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3123591840, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3126005828, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3079032302, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3094119728, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3113472462, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3093947768, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3138000965, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3159090579, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3099907637, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3124080896, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3087437749, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3172070682, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3103958070, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3110946715, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3153117299, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3121992648, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3105224073, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3113395572, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3115957081, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3106235862, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3099077642, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3085636795, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3121128976, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3155855238, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3065292835, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3124122024, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3102343678, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3099277914, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3120613694, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3137217760, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3123094738, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3133056462, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3175719976, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3113985658, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3108400106, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3093222976, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3124530017, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3103300929, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3125704825, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3111554682, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3092312217, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3156399727, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3131132722, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3092363179, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3096409738, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3067832589, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3093793690, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3116559386, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3082013130, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3102979958, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3100532293, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3190562427, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2965846062, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2869518101, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2781666517, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2832553387, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2762457132, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2774554491, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2742983699, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2758817375, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2762303352, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2733269930, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2756135762, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2718635798, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2745676339, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2746388018, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2772025764, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2718903124, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2719292641, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2767118812, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2745891511, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2748749852, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2750201821, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2723748386, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2773934603, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2777743638, device='cuda:1', grad_fn=<DivBackward0>)
