tensor(0.5491793752, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.4538813531, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.4028304219, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3791958988, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3686641157, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3566284776, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3522511423, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3492845297, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3475384116, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3359745145, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3324463367, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3308731914, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3366899490, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3305408359, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3258554339, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3233345449, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3238960207, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3218481541, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3273362219, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3211344779, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3213565946, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3221737742, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3244169354, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3222269714, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3232836127, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3220933378, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3192523122, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3182916641, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3178651631, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3207249641, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3196757436, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3207935095, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3201306760, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3147128522, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3159380555, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3173548877, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3232537210, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3143497407, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3162159026, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3185393512, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3132203221, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3180150092, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3208102286, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3186596632, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3180096149, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3141956031, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3129169047, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3139882088, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3151772022, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3198376596, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3196880817, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3169372678, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3190316260, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3182344139, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3198583722, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3163507879, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3177378178, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3133255541, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3180806637, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3143442273, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3251495063, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3212455809, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3137206733, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3206032813, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3152312934, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3155629933, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3157633245, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3174380362, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3111802936, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3127471209, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3187052608, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3209114969, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3169231713, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3188148141, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3142183423, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3144146800, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3189858496, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3156125844, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3142237067, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3140956461, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3147061765, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3165627718, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3123958409, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3106839359, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3172030449, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3156493008, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3167388141, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3132127523, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3145956695, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3158242702, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3137359917, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3143525720, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3173069358, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3166023195, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3150824010, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3163226545, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3143998086, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3133275509, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3153955936, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3183239996, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3004839420, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2937290967, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2875230610, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2857635915, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2799713314, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2803237438, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2788461447, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2774599493, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2820579708, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2788923979, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2798556387, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2769999206, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2772782445, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2845148146, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2833918631, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2794249654, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2781650722, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2808054388, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2771483660, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2774272859, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2817895710, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2832141817, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2791861892, device='cuda:1', grad_fn=<DivBackward0>)
