tensor(0.2610824406, grad_fn=<DivBackward0>)
tensor(0.1827495396, grad_fn=<DivBackward0>)
tensor(0.1767145842, grad_fn=<DivBackward0>)
tensor(0.1743101180, grad_fn=<DivBackward0>)
tensor(0.1736590266, grad_fn=<DivBackward0>)
tensor(0.1716234684, grad_fn=<DivBackward0>)
tensor(0.1719299555, grad_fn=<DivBackward0>)
tensor(0.1704496741, grad_fn=<DivBackward0>)
tensor(0.1701956242, grad_fn=<DivBackward0>)
tensor(0.1712059528, grad_fn=<DivBackward0>)
tensor(0.1695281118, grad_fn=<DivBackward0>)
tensor(0.1700555384, grad_fn=<DivBackward0>)
tensor(0.1697061211, grad_fn=<DivBackward0>)
tensor(0.1690680832, grad_fn=<DivBackward0>)
tensor(0.1699949503, grad_fn=<DivBackward0>)
tensor(0.1676802784, grad_fn=<DivBackward0>)
tensor(0.1684429199, grad_fn=<DivBackward0>)
tensor(0.1688899249, grad_fn=<DivBackward0>)
tensor(0.1683851629, grad_fn=<DivBackward0>)
tensor(0.1696613878, grad_fn=<DivBackward0>)
tensor(0.1693807542, grad_fn=<DivBackward0>)
tensor(0.1687875241, grad_fn=<DivBackward0>)
tensor(0.1683349162, grad_fn=<DivBackward0>)
tensor(0.1690631956, grad_fn=<DivBackward0>)
tensor(0.1687123179, grad_fn=<DivBackward0>)
tensor(0.1685960293, grad_fn=<DivBackward0>)
tensor(0.1692234576, grad_fn=<DivBackward0>)
tensor(0.1692710370, grad_fn=<DivBackward0>)
tensor(0.1684657633, grad_fn=<DivBackward0>)
tensor(0.1688072532, grad_fn=<DivBackward0>)
tensor(0.1676635444, grad_fn=<DivBackward0>)
tensor(0.1696817726, grad_fn=<DivBackward0>)
tensor(0.1687823534, grad_fn=<DivBackward0>)
tensor(0.1694748998, grad_fn=<DivBackward0>)
tensor(0.1693071723, grad_fn=<DivBackward0>)
tensor(0.1687040329, grad_fn=<DivBackward0>)
tensor(0.1696632951, grad_fn=<DivBackward0>)
tensor(0.1688445210, grad_fn=<DivBackward0>)
tensor(0.1687562615, grad_fn=<DivBackward0>)
tensor(0.1684852839, grad_fn=<DivBackward0>)
tensor(0.1677109003, grad_fn=<DivBackward0>)
tensor(0.1693030000, grad_fn=<DivBackward0>)
tensor(0.1688869894, grad_fn=<DivBackward0>)
tensor(0.1693283021, grad_fn=<DivBackward0>)
tensor(0.1682433933, grad_fn=<DivBackward0>)
tensor(0.1678554714, grad_fn=<DivBackward0>)
tensor(0.1682526022, grad_fn=<DivBackward0>)
tensor(0.1694242060, grad_fn=<DivBackward0>)
tensor(0.1697609574, grad_fn=<DivBackward0>)
tensor(0.1679940224, grad_fn=<DivBackward0>)
tensor(0.1685090512, grad_fn=<DivBackward0>)
tensor(0.1691937447, grad_fn=<DivBackward0>)
tensor(0.1681341231, grad_fn=<DivBackward0>)
tensor(0.1682618856, grad_fn=<DivBackward0>)
tensor(0.1694397032, grad_fn=<DivBackward0>)
tensor(0.1681905687, grad_fn=<DivBackward0>)
tensor(0.1688883007, grad_fn=<DivBackward0>)
tensor(0.1692650914, grad_fn=<DivBackward0>)
tensor(0.1685579717, grad_fn=<DivBackward0>)
tensor(0.1681915373, grad_fn=<DivBackward0>)
tensor(0.1688250899, grad_fn=<DivBackward0>)
tensor(0.1685113013, grad_fn=<DivBackward0>)
tensor(0.1682915390, grad_fn=<DivBackward0>)
tensor(0.1683409810, grad_fn=<DivBackward0>)
tensor(0.1685422063, grad_fn=<DivBackward0>)
tensor(0.1685195267, grad_fn=<DivBackward0>)
tensor(0.1683186889, grad_fn=<DivBackward0>)
tensor(0.1687489897, grad_fn=<DivBackward0>)
tensor(0.1673795879, grad_fn=<DivBackward0>)
tensor(0.1678232849, grad_fn=<DivBackward0>)
tensor(0.1678243577, grad_fn=<DivBackward0>)
tensor(0.1681032926, grad_fn=<DivBackward0>)
tensor(0.1685478240, grad_fn=<DivBackward0>)
tensor(0.1676533818, grad_fn=<DivBackward0>)
tensor(0.1690581441, grad_fn=<DivBackward0>)
tensor(0.1679785848, grad_fn=<DivBackward0>)
tensor(0.1690737307, grad_fn=<DivBackward0>)
tensor(0.1683957875, grad_fn=<DivBackward0>)
tensor(0.1678206474, grad_fn=<DivBackward0>)
tensor(0.1675089151, grad_fn=<DivBackward0>)
tensor(0.1690825075, grad_fn=<DivBackward0>)
tensor(0.1679876894, grad_fn=<DivBackward0>)
tensor(0.1692380458, grad_fn=<DivBackward0>)
tensor(0.1675549895, grad_fn=<DivBackward0>)
tensor(0.1678332090, grad_fn=<DivBackward0>)
tensor(0.1683423072, grad_fn=<DivBackward0>)
tensor(0.1690856665, grad_fn=<DivBackward0>)
tensor(0.1687371880, grad_fn=<DivBackward0>)
tensor(0.1682568043, grad_fn=<DivBackward0>)
tensor(0.1683137566, grad_fn=<DivBackward0>)
tensor(0.1681045592, grad_fn=<DivBackward0>)
tensor(0.1680290103, grad_fn=<DivBackward0>)
tensor(0.1694876701, grad_fn=<DivBackward0>)
tensor(0.1686782241, grad_fn=<DivBackward0>)
tensor(0.1674886495, grad_fn=<DivBackward0>)
tensor(0.1691382676, grad_fn=<DivBackward0>)
tensor(0.1692260951, grad_fn=<DivBackward0>)
tensor(0.1689705700, grad_fn=<DivBackward0>)
tensor(0.1687602550, grad_fn=<DivBackward0>)
tensor(0.1676107198, grad_fn=<DivBackward0>)
tensor(0.1626813859, grad_fn=<DivBackward0>)
tensor(0.1609429121, grad_fn=<DivBackward0>)
tensor(0.1606007516, grad_fn=<DivBackward0>)
tensor(0.1596559435, grad_fn=<DivBackward0>)
tensor(0.1598179936, grad_fn=<DivBackward0>)
tensor(0.1596909165, grad_fn=<DivBackward0>)
tensor(0.1597394496, grad_fn=<DivBackward0>)
tensor(0.1583046913, grad_fn=<DivBackward0>)
tensor(0.1594791561, grad_fn=<DivBackward0>)
tensor(0.1595503390, grad_fn=<DivBackward0>)
tensor(0.1600634158, grad_fn=<DivBackward0>)
tensor(0.1591630429, grad_fn=<DivBackward0>)
tensor(0.1600860953, grad_fn=<DivBackward0>)
tensor(0.1599326432, grad_fn=<DivBackward0>)
tensor(0.1598238051, grad_fn=<DivBackward0>)
tensor(0.1592424065, grad_fn=<DivBackward0>)
tensor(0.1596860141, grad_fn=<DivBackward0>)
tensor(0.1585161537, grad_fn=<DivBackward0>)
tensor(0.1581156701, grad_fn=<DivBackward0>)
tensor(0.1584550738, grad_fn=<DivBackward0>)
tensor(0.1578037441, grad_fn=<DivBackward0>)
tensor(0.1593303978, grad_fn=<DivBackward0>)
tensor(0.1586601287, grad_fn=<DivBackward0>)
tensor(0.1594753563, grad_fn=<DivBackward0>)
